url,lang,title,h1,h2s,meta_desc,word_count,slug
https://www.jkptg.gov.my/my/,ms-MY,Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Utama,Utama,,Jabatan Ketua Pengarah Tanah & Galian Persekutuan,1046,my
https://www.jkptg.gov.my/en/,en-GB,Department of Director General of Lands and Mines - Home,Home,,Department of Director General of Lands & Mines Federal,1011,en
https://www.jkptg.gov.my/my/soalan-lazim-3,ms-MY,Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Soalan Lazim,,Soalan Lazim,Jabatan Ketua Pengarah Tanah & Galian Persekutuan,678,my_soalan-lazim-3
https://www.jkptg.gov.my/my/hubungi-kami/ibu-pejabat,ms-MY,Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Ibu Pejabat,,Ibu Pejabat,Jabatan Ketua Pengarah Tanah & Galian Persekutuan,693,my_hubungi-kami_ibu-pejabat
https://www.jkptg.gov.my/my/borang-3,ms-MY,Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Borang,,Borang,Jabatan Ketua Pengarah Tanah & Galian Persekutuan,673,my_borang-3
https://www.jkptg.gov.my/my/peta-laman,ms-MY,Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Sitemap,Peta Laman,,Jabatan Ketua Pengarah Tanah & Galian Persekutuan,1240,my_peta-laman
https://www.jkptg.gov.my/my/korporat/pengurusan-tertinggi/ketua-pengarah,ms-MY,Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Ketua Pengarah,,Ketua Pengarah,Jabatan Ketua Pengarah Tanah & Galian Persekutuan,998,my_korporat_pengurusan-tertinggi_ketua-pengarah
https://www.jkptg.gov.my/my/korporat/pengurusan-tertinggi/timbalan-ketua-pengarah-sektor-kemajuan-pengurusan-perundangan-skpp,ms-MY,Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Timbalan Ketua Pengarah Sektor Kemajuan Pengurusan & Perundangan (SKPP),,Timbalan Ketua Pengarah Sektor Kemajuan Pengurusan & Perundangan (SKPP),Jabatan Ketua Pengarah Tanah & Galian Persekutuan,1059,my_korporat_pengurusan-tertinggi_timbalan-ketua-pengarah-sektor-kemajuan-pengurusan-perundangan-skpp
https://www.jkptg.gov.my/my/korporat/pengurusan-tertinggi/timbalan-ketua-pengarah-sektor-penyelarasan-operasi-spo,ms-MY,Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Timbalan Ketua Pengarah Sektor Penyelarasan & Operasi (SPO),,Timbalan Ketua Pengarah Sektor Penyelarasan & Operasi (SPO),Jabatan Ketua Pengarah Tanah & Galian Persekutuan,861,my_korporat_pengurusan-tertinggi_timbalan-ketua-pengarah-sektor-penyelarasan-operasi-spo
https://www.jkptg.gov.my/my/korporat/pengurusan-tertinggi/ketua-pegawai-maklumat-cio,ms-MY,Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Ketua Pegawai Digital (CDO) / Ketua Pegawai Maklumat (CIO),,Ketua Pegawai Digital (CDO) / Ketua Pegawai Maklumat (CIO),Jabatan Ketua Pengarah Tanah & Galian Persekutuan,698,my_korporat_pengurusan-tertinggi_ketua-pegawai-maklumat-cio
https://www.jkptg.gov.my/my/korporat/perutusan-ketua-pengarah,ms-MY,Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Perutusan Ketua Pengarah,,Perutusan Ketua Pengarah,Jabatan Ketua Pengarah Tanah & Galian Persekutuan,940,my_korporat_perutusan-ketua-pengarah
https://www.jkptg.gov.my/my/korporat/latar-belakang,ms-MY,Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Latar Belakang,,Latar Belakang,Jabatan Ketua Pengarah Tanah & Galian Persekutuan,1012,my_korporat_latar-belakang
https://www.jkptg.gov.my/my/korporat/visi-misi-objektif,ms-MY,"Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Visi, Misi & Objektif",,"Visi, Misi & Objektif",Jabatan Ketua Pengarah Tanah & Galian Persekutuan,721,my_korporat_visi-misi-objektif
https://www.jkptg.gov.my/my/korporat/piagam-pelanggan,ms-MY,Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Piagam Pelanggan,,Piagam Pelanggan,Jabatan Ketua Pengarah Tanah & Galian Persekutuan,667,my_korporat_piagam-pelanggan
https://www.jkptg.gov.my/my/korporat/piagam-pelanggan/prestasi-piagam-pelanggan,ms-MY,Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Prestasi Piagam Pelanggan,,Prestasi Piagam Pelanggan,Jabatan Ketua Pengarah Tanah & Galian Persekutuan,945,my_korporat_piagam-pelanggan_prestasi-piagam-pelanggan
https://www.jkptg.gov.my/my/korporat/fungsi-jabatan,ms-MY,Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Fungsi Jabatan,,Fungsi Jabatan,Jabatan Ketua Pengarah Tanah & Galian Persekutuan,770,my_korporat_fungsi-jabatan
https://www.jkptg.gov.my/my/korporat/carta-organisasi/kementerian-tenaga-dan-sumber-asli,ms-MY,Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Kementerian Sumber Asli dan Kelestarian Alam,,Kementerian Sumber Asli dan Kelestarian Alam,Jabatan Ketua Pengarah Tanah & Galian Persekutuan,690,my_korporat_carta-organisasi_kementerian-tenaga-dan-sumber-asli
https://www.jkptg.gov.my/my/korporat/carta-organisasi/jabatan-ketua-pengarah-tanah-galian-jkptg,ms-MY,Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Jabatan Ketua Pengarah Tanah & Galian (JKPTG),,Jabatan Ketua Pengarah Tanah & Galian (JKPTG),Jabatan Ketua Pengarah Tanah & Galian Persekutuan,692,my_korporat_carta-organisasi_jabatan-ketua-pengarah-tanah-galian-jkptg
https://www.jkptg.gov.my/my/korporat/profil-bahagian/bahagian-khidmat-pengurusan-bkp,ms-MY,Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Bahagian Khidmat Pengurusan (BKP),,Bahagian Khidmat Pengurusan (BKP),Jabatan Ketua Pengarah Tanah & Galian Persekutuan,734,my_korporat_profil-bahagian_bahagian-khidmat-pengurusan-bkp
https://www.jkptg.gov.my/my/korporat/profil-bahagian/bahagian-dasar-dan-konsultasi-bd-k,ms-MY,Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Bahagian Dasar dan Konsultasi (BD&K),,Bahagian Dasar dan Konsultasi (BD&K),Jabatan Ketua Pengarah Tanah & Galian Persekutuan,999,my_korporat_profil-bahagian_bahagian-dasar-dan-konsultasi-bd-k
https://www.jkptg.gov.my/my/korporat/profil-bahagian/bahagian-standard-dan-inspektorat-bsi,ms-MY,Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Bahagian Standard dan Inspektorat (BSI),,Bahagian Standard dan Inspektorat (BSI),Jabatan Ketua Pengarah Tanah & Galian Persekutuan,790,my_korporat_profil-bahagian_bahagian-standard-dan-inspektorat-bsi
https://www.jkptg.gov.my/my/korporat/profil-bahagian/bahagian-pengurusan-dan-perundangan-tanah-bppt,ms-MY,Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Bahagian Pengurusan dan Perundangan Tanah (BPPT),,Bahagian Pengurusan dan Perundangan Tanah (BPPT),Jabatan Ketua Pengarah Tanah & Galian Persekutuan,800,my_korporat_profil-bahagian_bahagian-pengurusan-dan-perundangan-tanah-bppt
https://www.jkptg.gov.my/my/korporat/profil-bahagian/bahagian-harta-tanah-persekutuan-bhtp,ms-MY,Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Bahagian Pengurusan Tanah Persekutuan (BPTP),,Bahagian Pengurusan Tanah Persekutuan (BPTP),Jabatan Ketua Pengarah Tanah & Galian Persekutuan,678,my_korporat_profil-bahagian_bahagian-harta-tanah-persekutuan-bhtp
https://www.jkptg.gov.my/my/korporat/profil-bahagian/bahagian-pengambilan-tanah-bpt,ms-MY,Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Bahagian Pengambilan Tanah & Projek Khas (BPTPK),,Bahagian Pengambilan Tanah & Projek Khas (BPTPK),Jabatan Ketua Pengarah Tanah & Galian Persekutuan,990,my_korporat_profil-bahagian_bahagian-pengambilan-tanah-bpt
https://www.jkptg.gov.my/my/korporat/profil-bahagian/bahagian-pembahagian-pusaka-bpp,ms-MY,Jabatan Ketua Pengarah Tanah & Galian Persekutuan - Bahagian Pengurusan Pusaka (BPP),,Bahagian Pengurusan Pusaka (BPP),Jabatan Ketua Pengarah Tanah & Galian Persekutuan,823,my_korporat_profil-bahagian_bahagian-pembahagian-pusaka-bpp
